#Meteorological data for Loobos (from PALS), 1997-.
#1 years of 30 minute data.
#    Down  Down      Rainfall      Snowfall     Air       Wind                 Specific
#    SWR   LWR        rate           rate      temp.      speed     Pressure   humidity
# (W m-2) (W m-2)  (kg m-2 s-1) (kg m-2 s-1)   (K)       (m s-1) )   (Pa)      (kg kg-1)
    0.0  245.3     0.000e+00     0.000e+00   267.190     2.163     101001.7   2.098e-03
    0.0  246.0     0.000e+00     0.000e+00   267.310     2.160     101001.9   2.174e-03
    0.0  246.6     0.000e+00     0.000e+00   267.430     2.157     101002.0   2.223e-03
    0.0  247.1     0.000e+00     0.000e+00   267.560     2.162     101002.2   2.248e-03
    1.8  247.2     0.000e+00     0.000e+00   267.560     2.168     101002.2   2.261e-03
   12.6  247.1     0.000e+00     0.000e+00   267.560     2.164     101002.2   2.256e-03
   32.4  247.2     0.000e+00     0.000e+00   267.660     2.047     101002.3   2.210e-03
   43.7  247.8     0.000e+00     0.000e+00   267.890     2.087     101002.6   2.214e-03
   61.9  249.1     0.000e+00     0.000e+00   268.270     2.060     101003.0   2.266e-03
   68.8  250.5     0.000e+00     0.000e+00   268.690     1.846     101003.5   2.323e-03
   64.1  250.7     0.000e+00     0.000e+00   268.780     1.861     101003.6   2.322e-03
   72.8  249.7     0.000e+00     0.000e+00   268.530     2.014     101003.3   2.260e-03
   78.6  248.7     0.000e+00     0.000e+00   268.260     2.023     101003.0   2.206e-03
   97.5  249.7     0.000e+00     0.000e+00   268.530     2.004     101003.3   2.252e-03
  110.0  250.7     0.000e+00     0.000e+00   268.800     1.649     101003.6   2.299e-03
  144.5  250.1     0.000e+00     0.000e+00   268.610     3.166     101003.4   2.287e-03
  169.9  251.4     0.000e+00     0.000e+00   268.990     1.770     101003.9   2.346e-03
  117.2  252.0     0.000e+00     0.000e+00   269.200     1.510     101004.1   2.350e-03
   68.1  251.7     0.000e+00     0.000e+00   269.120     1.890     101004.0   2.338e-03
   22.1  251.0     0.000e+00     0.000e+00   268.800     1.945     101003.6   2.351e-03
    0.0  248.8     0.000e+00     0.000e+00   268.090     2.171     101002.8   2.302e-03
    0.0  246.3     0.000e+00     0.000e+00   267.290     2.186     101001.8   2.234e-03
    0.0  244.8     0.000e+00     0.000e+00   266.800     2.468     101001.2   2.203e-03
    0.0  243.8     0.000e+00     0.000e+00   266.460     2.548     101000.8   2.171e-03
    0.0  241.6     0.000e+00     0.000e+00   265.810     2.575     101000.0   2.082e-03
    0.0  239.7     0.000e+00     0.000e+00   265.270     2.571     100999.4   2.012e-03
    0.0  238.0     0.000e+00     0.000e+00   264.760     2.573     100998.8   1.940e-03
    0.0  236.1     0.000e+00     0.000e+00   264.210     2.507     100998.1   1.861e-03
    0.0  235.8     0.000e+00     0.000e+00   264.110     2.442     100998.0   1.851e-03
    0.0  235.8     0.000e+00     0.000e+00   264.110     2.442     100998.0   1.851e-03
    0.0  234.5     0.000e+00     0.000e+00   263.750     2.379     100997.5   1.799e-03
    0.0  233.6     0.000e+00     0.000e+00   263.480     2.379     100997.2   1.757e-03
    0.0  232.2     0.000e+00     0.000e+00   263.090     2.403     100996.7   1.696e-03
    0.0  233.3     0.000e+00     0.000e+00   263.410     2.366     100997.1   1.742e-03
    0.0  234.1     0.000e+00     0.000e+00   263.660     2.379     100997.4   1.775e-03
    0.0  234.3     0.000e+00     0.000e+00   263.710     2.379     100997.5   1.784e-03
    0.0  233.3     0.000e+00     0.000e+00   263.410     2.366     100997.1   1.735e-03
    0.0  232.6     0.000e+00     0.000e+00   263.220     2.385     100996.8   1.707e-03
    0.0  234.4     0.000e+00     0.000e+00   263.730     2.379     100997.5   1.788e-03
    0.0  236.4     0.000e+00     0.000e+00   264.310     2.493     100998.2   1.878e-03
    0.0  238.6     0.000e+00     0.000e+00   264.910     2.579     100998.9   1.977e-03
    0.0  242.1     0.000e+00     0.000e+00   265.890     2.585     101000.1   2.143e-03
    0.0  244.1     0.000e+00     0.000e+00   266.450     2.563     101000.8   2.240e-03
    0.0  244.7     0.000e+00     0.000e+00   266.620     2.509     101001.0   2.265e-03
    0.0  244.7     0.000e+00     0.000e+00   266.620     2.509     101001.0   2.253e-03
    0.0  244.1     0.000e+00     0.000e+00   266.490     2.553     101000.9   2.219e-03
    0.0  243.9     0.000e+00     0.000e+00   266.440     2.563     101000.8   2.209e-03
    0.0  243.3     0.000e+00     0.000e+00   266.250     2.643     101000.6   2.179e-03
    0.0  242.7     0.000e+00     0.000e+00   266.090     2.661     101000.4   2.154e-03
    0.0  242.1     0.000e+00     0.000e+00   265.910     2.614     101000.2   2.124e-03
    0.0  241.8     0.000e+00     0.000e+00   265.830     2.575     101000.1   2.111e-03
    0.0  242.0     0.000e+00     0.000e+00   265.900     2.604     101000.1   2.116e-03
    0.5  242.0     0.000e+00     0.000e+00   265.940     2.625     101000.2   2.107e-03
    4.6  241.2     0.000e+00     0.000e+00   265.700     2.558     100999.9   2.070e-03
   13.1  239.6     0.000e+00     0.000e+00   265.270     2.575     100999.4   1.992e-03
   20.0  239.3     0.000e+00     0.000e+00   265.170     2.583     100999.3   1.974e-03
